idx,t,current_mA,gripper_pos_bit,image_file
0,0.015642642974853516,390.0,229,000000.npy
1,0.06360745429992676,360.0,220,000001.npy
2,0.1116178035736084,60.0,205,000002.npy
3,0.15958142280578613,330.0,188,000003.npy
4,0.22362208366394043,0.0,170,000004.npy
5,0.2717628479003906,0.0,153,000005.npy
6,0.31964588165283203,210.0,134,000006.npy
7,0.3676302433013916,580.0,117,000007.npy
8,0.41565799713134766,20.0,98,000008.npy
9,0.4635903835296631,320.0,79,000009.npy
10,0.5118527412414551,360.0,61,000010.npy
11,0.5595798492431641,270.0,44,000011.npy
12,0.6076433658599854,550.0,26,000012.npy
13,0.671715497970581,0.0,8,000013.npy
14,0.7196874618530273,0.0,3,000014.npy
15,0.7678573131561279,1000.0,3,000015.npy
16,0.8156087398529053,0.0,3,000016.npy
17,0.8637254238128662,0.0,3,000017.npy
18,0.9115855693817139,0.0,3,000018.npy
19,0.9598486423492432,0.0,3,000019.npy
20,1.0076088905334473,0.0,3,000020.npy
21,1.0716824531555176,0.0,3,000021.npy
22,1.1196510791778564,0.0,3,000022.npy
23,1.1677219867706299,0.0,3,000023.npy
24,1.2157282829284668,0.0,3,000024.npy
25,1.2637524604797363,0.0,3,000025.npy
26,1.311727523803711,0.0,3,000026.npy
27,1.3758783340454102,0.0,3,000027.npy
28,1.4245541095733643,0.0,3,000028.npy
29,1.4717164039611816,0.0,3,000029.npy
30,1.5196802616119385,0.0,3,000030.npy
31,1.5680341720581055,0.0,3,000031.npy
32,1.6156649589538574,0.0,3,000032.npy
33,1.663710594177246,0.0,3,000033.npy
34,1.7116949558258057,0.0,3,000034.npy
35,1.7758660316467285,0.0,3,000035.npy
36,1.8236713409423828,0.0,3,000036.npy
37,1.8723559379577637,0.0,3,000037.npy
38,1.9198074340820312,0.0,3,000038.npy
39,1.9676971435546875,0.0,3,000039.npy
40,2.0156326293945312,0.0,3,000040.npy
41,2.0636837482452393,0.0,3,000041.npy
42,2.1115739345550537,0.0,3,000042.npy
43,2.175733804702759,0.0,3,000043.npy
44,2.223862648010254,0.0,3,000044.npy
45,2.2718684673309326,0.0,3,000045.npy
46,2.31972074508667,0.0,3,000046.npy
47,2.367987871170044,0.0,3,000047.npy
48,2.4157419204711914,0.0,3,000048.npy
49,2.463604211807251,0.0,3,000049.npy
50,2.528681993484497,0.0,3,000050.npy
51,2.5757391452789307,0.0,3,000051.npy
52,2.6240179538726807,0.0,3,000052.npy
53,2.671647548675537,0.0,3,000053.npy
54,2.719682455062866,0.0,3,000054.npy
55,2.7676148414611816,0.0,3,000055.npy
56,2.815696954727173,0.0,3,000056.npy
57,2.879859685897827,0.0,3,000057.npy
58,2.9276750087738037,0.0,3,000058.npy
59,2.975775718688965,0.0,3,000059.npy
60,3.023729085922241,0.0,3,000060.npy
61,3.0730724334716797,0.0,3,000061.npy
62,3.119642734527588,0.0,3,000062.npy
63,3.167750597000122,0.0,3,000063.npy
64,3.21557879447937,0.0,3,000064.npy
65,3.263713836669922,0.0,3,000065.npy
66,3.3277297019958496,0.0,3,000066.npy
67,3.375673294067383,0.0,3,000067.npy
68,3.423673152923584,0.0,3,000068.npy
69,3.4717013835906982,0.0,3,000069.npy
70,3.5197341442108154,0.0,3,000070.npy
71,3.5679516792297363,0.0,3,000071.npy
72,3.631849527359009,0.0,3,000072.npy
73,3.679755210876465,0.0,3,000073.npy
74,3.727818250656128,0.0,3,000074.npy
75,3.775703191757202,0.0,3,000075.npy
76,3.8236613273620605,0.0,3,000076.npy
77,3.8717336654663086,0.0,3,000077.npy
78,3.919696569442749,0.0,3,000078.npy
79,3.983736753463745,0.0,3,000079.npy
80,4.031778812408447,0.0,3,000080.npy
81,4.07970666885376,0.0,3,000081.npy
82,4.127547979354858,0.0,3,000082.npy
83,4.175537586212158,0.0,3,000083.npy
84,4.223544120788574,0.0,3,000084.npy
85,4.271531105041504,0.0,3,000085.npy
86,4.319703578948975,0.0,3,000086.npy
87,4.383661508560181,0.0,3,000087.npy
88,4.43328332901001,0.0,3,000088.npy
89,4.479539632797241,0.0,3,000089.npy
90,4.5278496742248535,0.0,3,000090.npy
91,4.575753927230835,0.0,3,000091.npy
92,4.623751401901245,0.0,3,000092.npy
93,4.671678066253662,0.0,3,000093.npy
94,4.735738277435303,0.0,3,000094.npy
95,4.783747911453247,0.0,3,000095.npy
96,4.831644773483276,0.0,3,000096.npy
97,4.879603624343872,0.0,3,000097.npy
98,4.927623987197876,0.0,3,000098.npy
99,4.975684881210327,0.0,3,000099.npy
100,5.02370548248291,0.0,3,000100.npy
101,5.071596145629883,0.0,3,000101.npy
102,5.119507074356079,0.0,3,000102.npy
103,5.183776378631592,0.0,3,000103.npy
104,5.231673002243042,0.0,3,000104.npy
105,5.279677152633667,0.0,3,000105.npy
106,5.327708005905151,0.0,3,000106.npy
107,5.375676155090332,0.0,3,000107.npy
108,5.4236979484558105,0.0,3,000108.npy
109,5.471616506576538,0.0,3,000109.npy
110,5.535649061203003,0.0,3,000110.npy
111,5.583674669265747,0.0,3,000111.npy
112,5.631625413894653,0.0,3,000112.npy
113,5.6797261238098145,0.0,3,000113.npy
114,5.727590322494507,0.0,3,000114.npy
115,5.775684356689453,0.0,3,000115.npy
116,5.823867321014404,0.0,3,000116.npy
117,5.887667655944824,0.0,3,000117.npy
118,5.935789585113525,0.0,3,000118.npy
119,5.983778238296509,0.0,3,000119.npy
120,6.031665563583374,0.0,3,000120.npy
121,6.079795598983765,0.0,3,000121.npy
122,6.127715110778809,0.0,3,000122.npy
123,6.175692558288574,0.0,3,000123.npy
124,6.223650932312012,0.0,3,000124.npy
125,6.287660837173462,0.0,3,000125.npy
126,6.3357133865356445,0.0,3,000126.npy
127,6.383643627166748,0.0,3,000127.npy
128,6.431718826293945,0.0,3,000128.npy
129,6.479637861251831,0.0,3,000129.npy
130,6.527891159057617,0.0,3,000130.npy
131,6.575666666030884,0.0,3,000131.npy
132,6.6398091316223145,0.0,3,000132.npy
133,6.6877336502075195,0.0,3,000133.npy
134,6.735682487487793,0.0,3,000134.npy
135,6.783641576766968,0.0,3,000135.npy
136,6.831918001174927,0.0,3,000136.npy
137,6.879649639129639,0.0,3,000137.npy
138,6.927647352218628,0.0,3,000138.npy
139,6.975871562957764,0.0,3,000139.npy
140,7.039636611938477,0.0,3,000140.npy
141,7.087723970413208,0.0,3,000141.npy
142,7.135528564453125,0.0,3,000142.npy
143,7.183704137802124,0.0,3,000143.npy
144,7.231546878814697,0.0,3,000144.npy
145,7.279609203338623,0.0,3,000145.npy
146,7.327613592147827,0.0,3,000146.npy
147,7.391638517379761,0.0,3,000147.npy
148,7.439737319946289,0.0,3,000148.npy
149,7.487727165222168,0.0,3,000149.npy
150,7.535559415817261,0.0,3,000150.npy
151,7.583723545074463,0.0,3,000151.npy
152,7.631658315658569,0.0,3,000152.npy
153,7.679663419723511,0.0,3,000153.npy
154,7.727730989456177,0.0,3,000154.npy
155,7.791604995727539,0.0,3,000155.npy
156,7.839709997177124,0.0,3,000156.npy
157,7.887582540512085,0.0,3,000157.npy
158,7.9356849193573,0.0,3,000158.npy
159,7.98375391960144,0.0,3,000159.npy
160,8.031448364257812,0.0,3,000160.npy
161,8.079652786254883,0.0,3,000161.npy
162,8.127569913864136,0.0,3,000162.npy
163,8.191622018814087,0.0,3,000163.npy
164,8.239628791809082,0.0,3,000164.npy
165,8.287562608718872,0.0,3,000165.npy
166,8.335697412490845,0.0,3,000166.npy
167,8.383615732192993,0.0,3,000167.npy
168,8.431703090667725,0.0,3,000168.npy
169,8.479544878005981,0.0,3,000169.npy
170,8.527507305145264,0.0,3,000170.npy
171,8.591552495956421,0.0,3,000171.npy
172,8.639580011367798,0.0,3,000172.npy
173,8.687520980834961,0.0,3,000173.npy
174,8.735532999038696,0.0,3,000174.npy
175,8.783571004867554,0.0,3,000175.npy
176,8.83152985572815,0.0,3,000176.npy
177,8.89557695388794,0.0,3,000177.npy
178,8.943599939346313,0.0,3,000178.npy
179,8.991415977478027,0.0,3,000179.npy
180,9.039518117904663,0.0,3,000180.npy
181,9.087591648101807,0.0,3,000181.npy
182,9.135576725006104,0.0,3,000182.npy
183,9.183560371398926,0.0,3,000183.npy
184,9.231589078903198,0.0,3,000184.npy
185,9.295578956604004,0.0,3,000185.npy
186,9.34353232383728,0.0,3,000186.npy
187,9.39161205291748,0.0,3,000187.npy
188,9.439539194107056,0.0,3,000188.npy
189,9.488630771636963,0.0,3,000189.npy
190,9.535569906234741,0.0,3,000190.npy
191,9.583605527877808,0.0,3,000191.npy
192,9.631562232971191,0.0,3,000192.npy
193,9.695681095123291,0.0,3,000193.npy
194,9.743512630462646,0.0,3,000194.npy
195,9.791583776473999,0.0,3,000195.npy
196,9.839710474014282,0.0,3,000196.npy
197,9.887567043304443,0.0,3,000197.npy
198,9.935676097869873,0.0,3,000198.npy
199,9.983715057373047,0.0,3,000199.npy
200,10.047613143920898,0.0,3,000200.npy
201,10.095585584640503,0.0,3,000201.npy
202,10.143485069274902,0.0,3,000202.npy
203,10.19169807434082,0.0,3,000203.npy
204,10.239642858505249,0.0,3,000204.npy
205,10.287718296051025,0.0,3,000205.npy
206,10.335496187210083,0.0,3,000206.npy
207,10.38356065750122,0.0,3,000207.npy
208,10.447634220123291,0.0,3,000208.npy
209,10.495594501495361,0.0,3,000209.npy
210,10.543510437011719,0.0,3,000210.npy
211,10.591633558273315,0.0,3,000211.npy
212,10.639726638793945,0.0,3,000212.npy
213,10.687482118606567,0.0,3,000213.npy
214,10.735571384429932,0.0,3,000214.npy
215,10.78363299369812,0.0,3,000215.npy
216,10.847627401351929,0.0,3,000216.npy
217,10.895718336105347,0.0,3,000217.npy
218,10.943494319915771,0.0,3,000218.npy
219,10.991734743118286,0.0,3,000219.npy
220,11.039666414260864,0.0,3,000220.npy
221,11.087652683258057,0.0,3,000221.npy
222,11.13554334640503,0.0,3,000222.npy
223,11.19952654838562,0.0,3,000223.npy
224,11.247714757919312,0.0,3,000224.npy
225,11.295620203018188,0.0,3,000225.npy
226,11.343510389328003,0.0,3,000226.npy
227,11.391568660736084,0.0,3,000227.npy
228,11.439646244049072,0.0,3,000228.npy
229,11.487504482269287,0.0,3,000229.npy
230,11.551553964614868,0.0,3,000230.npy
231,11.599817991256714,0.0,3,000231.npy
232,11.647730588912964,0.0,3,000232.npy
233,11.695636987686157,0.0,3,000233.npy
234,11.74349331855774,0.0,3,000234.npy
235,11.791657209396362,0.0,3,000235.npy
236,11.839838027954102,0.0,3,000236.npy
237,11.887516736984253,0.0,3,000237.npy
238,11.951559066772461,0.0,3,000238.npy
239,11.999632358551025,0.0,3,000239.npy
240,12.047819137573242,0.0,3,000240.npy
241,12.09556245803833,0.0,3,000241.npy
242,12.143532276153564,0.0,3,000242.npy
243,12.191471099853516,0.0,3,000243.npy
244,12.239778280258179,0.0,3,000244.npy
245,12.303509950637817,0.0,3,000245.npy
246,12.351430416107178,0.0,3,000246.npy
247,12.399564981460571,0.0,3,000247.npy
248,12.44736385345459,0.0,3,000248.npy
249,12.495352983474731,0.0,3,000249.npy
250,12.5433349609375,0.0,3,000250.npy
251,12.5916006565094,0.0,3,000251.npy
252,12.639436721801758,0.0,3,000252.npy
253,12.703518390655518,0.0,3,000253.npy
254,12.751544952392578,0.0,3,000254.npy
255,12.799405574798584,0.0,3,000255.npy
256,12.847351789474487,0.0,3,000256.npy
257,12.895360708236694,0.0,3,000257.npy
258,12.943346738815308,0.0,3,000258.npy
259,12.991353034973145,0.0,3,000259.npy
260,13.039355754852295,0.0,3,000260.npy
261,13.103395462036133,0.0,3,000261.npy
262,13.15152645111084,0.0,3,000262.npy
263,13.199369192123413,0.0,3,000263.npy
264,13.247401475906372,0.0,3,000264.npy
265,13.295369148254395,0.0,3,000265.npy
266,13.343361377716064,0.0,3,000266.npy
267,13.391490936279297,0.0,3,000267.npy
268,13.455376386642456,0.0,3,000268.npy
269,13.503551006317139,0.0,3,000269.npy
270,13.551523685455322,0.0,3,000270.npy
271,13.599387645721436,0.0,3,000271.npy
272,13.647372961044312,0.0,3,000272.npy
273,13.695401430130005,0.0,3,000273.npy
274,13.743335962295532,0.0,3,000274.npy
275,13.791478395462036,0.0,3,000275.npy
276,13.855385065078735,0.0,3,000276.npy
277,13.903508424758911,0.0,3,000277.npy
278,13.951366662979126,0.0,3,000278.npy
279,13.999571323394775,0.0,3,000279.npy
280,14.047483921051025,0.0,3,000280.npy
281,14.095526218414307,0.0,3,000281.npy
282,14.143553733825684,0.0,3,000282.npy
283,14.207633018493652,0.0,3,000283.npy
284,14.255536079406738,0.0,3,000284.npy
285,14.303508520126343,0.0,3,000285.npy
286,14.35163140296936,0.0,3,000286.npy
287,14.399711608886719,0.0,3,000287.npy
288,14.447623491287231,0.0,3,000288.npy
289,14.495753765106201,0.0,3,000289.npy
290,14.559548616409302,0.0,3,000290.npy
291,14.607588768005371,0.0,3,000291.npy
292,14.655656576156616,0.0,3,000292.npy
293,14.703778505325317,0.0,3,000293.npy
294,14.751559019088745,0.0,3,000294.npy
295,14.799529790878296,0.0,3,000295.npy
296,14.847692489624023,0.0,3,000296.npy
297,14.911416292190552,0.0,3,000297.npy
298,14.959490060806274,0.0,3,000298.npy
299,15.00761365890503,0.0,3,000299.npy
300,15.055684089660645,0.0,3,000300.npy
301,15.103520631790161,0.0,3,000301.npy
302,15.15164041519165,0.0,3,000302.npy
303,15.199684858322144,0.0,3,000303.npy
304,15.247685670852661,0.0,3,000304.npy
305,15.295483589172363,0.0,3,000305.npy
306,15.359610080718994,0.0,3,000306.npy
307,15.407642364501953,0.0,3,000307.npy
308,15.455621004104614,0.0,3,000308.npy
309,15.503524541854858,0.0,3,000309.npy
310,15.551799058914185,0.0,3,000310.npy
311,15.599724054336548,0.0,3,000311.npy
312,15.647841215133667,0.0,3,000312.npy
